"","V1","V2","V3","V4","V5","V6","Farm","Cow_Code","Country"
"320",390,390,0,0,2,-9,"UK2","UK390","UK"
"321",391,391,0,0,2,-9,"UK2","UK391","UK"
"322",392,392,0,0,2,-9,"UK2","UK392","UK"
"323",393,393,0,0,2,-9,"UK2","UK393","UK"
"324",394,394,0,0,2,-9,"UK2","UK394","UK"
"325",395,395,0,0,2,-9,"UK2","UK395","UK"
"326",396,396,0,0,2,-9,"UK2","UK396","UK"
"327",397,397,0,0,2,-9,"UK2","UK397","UK"
"328",40,40,0,0,2,-9,"UK1","UK40","UK"
"329",400,400,0,0,2,-9,"IT1","IT400","IT"
"330",402,402,0,0,2,-9,"IT1","IT402","IT"
"331",403,403,0,0,2,-9,"IT1","IT403","IT"
"332",404,404,0,0,2,-9,"IT1","IT404","IT"
"333",405,405,0,0,2,-9,"IT1","IT405","IT"
"334",406,406,0,0,2,-9,"IT1","IT406","IT"
"335",407,407,0,0,2,-9,"IT1","IT407","IT"
"336",408,408,0,0,2,-9,"IT1","IT408","IT"
"337",409,409,0,0,2,-9,"IT1","IT409","IT"
"338",410,410,0,0,2,-9,"IT1","IT410","IT"
"339",411,411,0,0,2,-9,"IT1","IT411","IT"
"340",412,412,0,0,2,-9,"IT1","IT412","IT"
"341",413,413,0,0,2,-9,"IT1","IT413","IT"
"342",414,414,0,0,2,-9,"IT1","IT414","IT"
"343",415,415,0,0,2,-9,"IT1","IT415","IT"
"344",416,416,0,0,2,-9,"IT1","IT416","IT"
"345",417,417,0,0,2,-9,"IT1","IT417","IT"
"346",418,418,0,0,2,-9,"IT1","IT418","IT"
"347",419,419,0,0,2,-9,"IT1","IT419","IT"
"348",42,42,0,0,2,-9,"UK1","UK42","UK"
"349",420,420,0,0,2,-9,"IT1","IT420","IT"
"350",421,421,0,0,2,-9,"IT1","IT421","IT"
"351",422,422,0,0,2,-9,"IT1","IT422","IT"
"352",423,423,0,0,2,-9,"IT1","IT423","IT"
"353",424,424,0,0,2,-9,"IT1","IT424","IT"
"354",425,425,0,0,2,-9,"IT1","IT425","IT"
"355",426,426,0,0,2,-9,"IT1","IT426","IT"
"356",428,428,0,0,2,-9,"IT1","IT428","IT"
"357",429,429,0,0,2,-9,"IT1","IT429","IT"
"358",43,43,0,0,2,-9,"UK1","UK43","UK"
"359",430,430,0,0,2,-9,"IT1","IT430","IT"
"360",431,431,0,0,2,-9,"IT1","IT431","IT"
"361",432,432,0,0,2,-9,"IT1","IT432","IT"
"362",433,433,0,0,2,-9,"IT1","IT433","IT"
"363",434,434,0,0,2,-9,"IT1","IT434","IT"
"364",435,435,0,0,2,-9,"IT1","IT435","IT"
"365",436,436,0,0,2,-9,"IT1","IT436","IT"
"366",438,438,0,0,2,-9,"IT1","IT438","IT"
"367",439,439,0,0,2,-9,"IT1","IT439","IT"
"368",44,44,0,0,2,-9,"UK1","UK44","UK"
"369",440,440,0,0,2,-9,"IT1","IT440","IT"
"370",45,45,0,0,2,-9,"UK1","UK45","UK"
"371",451,451,0,0,2,-9,"IT1","IT451","IT"
"372",452,452,0,0,2,-9,"IT1","IT452","IT"
"373",453,453,0,0,2,-9,"IT1","IT453","IT"
"374",454,454,0,0,2,-9,"IT1","IT454","IT"
"375",455,455,0,0,2,-9,"IT1","IT455","IT"
"376",456,456,0,0,2,-9,"IT1","IT456","IT"
"377",457,457,0,0,2,-9,"IT1","IT457","IT"
"378",458,458,0,0,2,-9,"IT1","IT458","IT"
"379",459,459,0,0,2,-9,"IT1","IT459","IT"
"380",460,460,0,0,2,-9,"IT1","IT460","IT"
"381",461,461,0,0,2,-9,"IT1","IT461","IT"
"382",462,462,0,0,2,-9,"IT1","IT462","IT"
"383",463,463,0,0,2,-9,"IT1","IT463","IT"
"384",465,465,0,0,2,-9,"IT1","IT465","IT"
"385",466,466,0,0,2,-9,"IT1","IT466","IT"
"386",467,467,0,0,2,-9,"IT1","IT467","IT"
"387",468,468,0,0,2,-9,"IT1","IT468","IT"
"388",469,469,0,0,2,-9,"IT1","IT469","IT"
"389",47,47,0,0,2,-9,"UK1","UK47","UK"
"390",470,470,0,0,2,-9,"IT1","IT470","IT"
"391",471,471,0,0,2,-9,"IT1","IT471","IT"
"392",472,472,0,0,2,-9,"IT1","IT472","IT"
"393",476,476,0,0,2,-9,"IT3","IT476","IT"
"394",478,478,0,0,2,-9,"IT3","IT478","IT"
"395",479,479,0,0,2,-9,"IT3","IT479","IT"
"396",480,480,0,0,2,-9,"IT3","IT480","IT"
"397",484,484,0,0,2,-9,"IT3","IT484","IT"
"398",485,485,0,0,2,-9,"IT3","IT485","IT"
"399",486,486,0,0,2,-9,"IT3","IT486","IT"
"400",487,487,0,0,2,-9,"IT3","IT487","IT"
"401",488,488,0,0,2,-9,"IT3","IT488","IT"
"402",490,490,0,0,2,-9,"IT2","IT490","IT"
"403",491,491,0,0,2,-9,"IT2","IT491","IT"
"404",492,492,0,0,2,-9,"IT2","IT492","IT"
"405",493,493,0,0,2,-9,"IT2","IT493","IT"
"406",494,494,0,0,2,-9,"IT2","IT494","IT"
"407",496,496,0,0,2,-9,"IT2","IT496","IT"
"408",497,497,0,0,2,-9,"IT2","IT497","IT"
"409",498,498,0,0,2,-9,"IT3","IT498","IT"
"410",499,499,0,0,2,-9,"IT3","IT499","IT"
"411",5,5,0,0,2,-9,"UK1","UK5","UK"
"412",50,50,0,0,2,-9,"UK1","UK50","UK"
"413",500,500,0,0,2,-9,"IT3","IT500","IT"
"414",501,501,0,0,2,-9,"IT3","IT501","IT"
"415",502,502,0,0,2,-9,"IT3","IT502","IT"
"416",503,503,0,0,2,-9,"IT3","IT503","IT"
"417",504,504,0,0,2,-9,"IT3","IT504","IT"
"418",505,505,0,0,2,-9,"IT3","IT505","IT"
"419",506,506,0,0,2,-9,"IT3","IT506","IT"
"420",507,507,0,0,2,-9,"IT3","IT507","IT"
"421",508,508,0,0,2,-9,"IT3","IT508","IT"
"422",509,509,0,0,2,-9,"IT3","IT509","IT"
"423",51,51,0,0,2,-9,"UK1","UK51","UK"
"424",510,510,0,0,2,-9,"IT3","IT510","IT"
"425",511,511,0,0,2,-9,"IT3","IT511","IT"
"426",512,512,0,0,2,-9,"IT3","IT512","IT"
"427",513,513,0,0,2,-9,"IT3","IT513","IT"
"428",514,514,0,0,2,-9,"IT3","IT514","IT"
"429",515,515,0,0,2,-9,"IT3","IT515","IT"
"430",516,516,0,0,2,-9,"IT3","IT516","IT"
"431",518,518,0,0,2,-9,"IT3","IT518","IT"
"432",519,519,0,0,2,-9,"IT3","IT519","IT"
"433",52,52,0,0,2,-9,"UK1","UK52","UK"
"434",520,520,0,0,2,-9,"IT3","IT520","IT"
"435",521,521,0,0,2,-9,"IT3","IT521","IT"
"436",522,522,0,0,2,-9,"IT3","IT522","IT"
"437",523,523,0,0,2,-9,"IT3","IT523","IT"
"438",524,524,0,0,2,-9,"IT3","IT524","IT"
"439",525,525,0,0,2,-9,"IT3","IT525","IT"
"440",526,526,0,0,2,-9,"IT3","IT526","IT"
"441",527,527,0,0,2,-9,"IT3","IT527","IT"
"442",528,528,0,0,2,-9,"IT3","IT528","IT"
"443",529,529,0,0,2,-9,"IT1","IT529","IT"
"444",53,53,0,0,2,-9,"UK1","UK53","UK"
"445",530,530,0,0,2,-9,"IT1","IT530","IT"
"446",531,531,0,0,2,-9,"IT1","IT531","IT"
"447",532,532,0,0,2,-9,"IT1","IT532","IT"
"448",533,533,0,0,2,-9,"IT1","IT533","IT"
"449",534,534,0,0,2,-9,"IT1","IT534","IT"
"450",535,535,0,0,2,-9,"IT1","IT535","IT"
"451",536,536,0,0,2,-9,"IT1","IT536","IT"
"452",537,537,0,0,2,-9,"IT1","IT537","IT"
"453",538,538,0,0,2,-9,"IT1","IT538","IT"
"454",539,539,0,0,2,-9,"IT1","IT539","IT"
"455",54,54,0,0,2,-9,"UK1","UK54","UK"
"456",540,540,0,0,2,-9,"IT1","IT540","IT"
"457",542,542,0,0,2,-9,"IT1","IT542","IT"
"458",543,543,0,0,2,-9,"IT1","IT543","IT"
"459",544,544,0,0,2,-9,"IT1","IT544","IT"
"460",545,545,0,0,2,-9,"IT1","IT545","IT"
"461",546,546,0,0,2,-9,"IT1","IT546","IT"
"462",547,547,0,0,2,-9,"IT1","IT547","IT"
"463",548,548,0,0,2,-9,"IT1","IT548","IT"
"464",549,549,0,0,2,-9,"IT1","IT549","IT"
"465",55,55,0,0,2,-9,"UK1","UK55","UK"
"466",550,550,0,0,2,-9,"IT1","IT550","IT"
"467",551,551,0,0,2,-9,"IT1","IT551","IT"
"468",553,553,0,0,2,-9,"IT1","IT553","IT"
"469",555,555,0,0,2,-9,"IT1","IT555","IT"
"470",556,556,0,0,2,-9,"IT1","IT556","IT"
"471",557,557,0,0,2,-9,"IT1","IT557","IT"
"472",558,558,0,0,2,-9,"IT1","IT558","IT"
"473",559,559,0,0,2,-9,"IT1","IT559","IT"
"474",560,560,0,0,2,-9,"IT1","IT560","IT"
"475",561,561,0,0,2,-9,"IT1","IT561","IT"
